nome;cnpj
ZOX GESTAO PATRIMONIAL LTDA;30.928.731/0001-62
WRN PARTICIPACOES LTDA;48.527.197/0001-48
WOLF PARTICIPACOES S/A;26.554.116/0001-66
VSX VALVULAS E EQUIPAMENTOS LTDA;03.046.069/0001-44
VN EMPREENDIMENTOS LTDA;05.583.321/0001-80
VJ PATRIMONIAL LTDA;38.424.086/0001-52
VJ PARTICIPACOES LTDA;38.296.460/0001-81
VILA CLARA VITORIA LTDA;56.912.617/0001-38
VIEIRA ADMINISTRACAO LTDA;52.550.361/0001-05
VIA MONDO TRANSPORTES LTDA;57.671.669/0001-22
VIA MONDO MULTIMARCAS LTDA FILIAL 0005-52;57.609.688/0005-52
VIA MONDO MULTIMARCAS LTDA FILIAL 0004-71;57.609.688/0004-71
VIA MONDO MULTIMARCAS LTDA FILIAL 0003-90;57.609.688/0003-90
VIA MONDO MULTIMARCAS LTDA FILIAL 0002-00;57.609.688/0002-00
VIA MONDO MULTIMARCAS LTDA;57.609.688/0001-29
VIA MONDO LOCADORA LTDA FILIAL 03-75;13.069.529/0003-75
VIA MONDO LOCADORA LTDA FILIAL 02-94;13.069.529/0002-94
VIA MONDO LOCADORA LTDA;13.069.529/0001-03
VIA MONDO FANDI LTDA;57.507.880/0001-04
VIA MONDO DISTRIBUIDORA DE PECAS E ACESSORIOS AUTOMOTIVOS LTDA;38.279.917/0001-40
VIA MONDO DISTRIBUIDORA DE PECAS E ACESSORIOS AUTOMOTIVOS LTDA;38.279.917/0002-20
VIA MONDO AUTOMOVEIS E PECAS LTDA - FILIAL 09-61;00.836.942/0009-61
VIA MONDO AUTOMOVEIS E PECAS LTDA - FILIAL 08-80;00.836.942/0008-80
VIA MONDO AUTOMOVEIS E PECAS LTDA;00.836.942/0002-95
VIA MONDO AUTOMOVEIS E PECAS LTDA;00.836.942/0010-03
VIA MONDO AUTOMOVEIS E PECAS LTDA;00.836.942/0007-08
VIA MONDO AUTOMOVEIS E PECAS LTDA;00.836.942/0005-38
VIA MONDO AUTOMOVEIS E PECAS LTDA;00.836.942/0004-57
VIA MONDO AUTOMOVEIS E PECAS LTDA;00.836.942/0001-04
VIA MONDO APS LTDA;51.688.317/0002-84
VIA MONDO APS LTDA;51.688.317/0001-01
VERO LATTE COMERCIO DE ALIMENTOS LTDA.;19.516.769/0004-38
VERO LATTE COMERCIO DE ALIMENTOS LTDA.;19.516.769/0003-57
VERO LATTE COMERCIO DE ALIMENTOS LTDA.;19.516.769/0001-95
VEREDAS DA SERRA COMBUSTIVEL LTDA;05.616.604/0001-80
VENETO EMPREENDIMENTO COMERCIAL LTDA;05.655.316/0001-35
VEIGA ESTRUTURAS METALICAS LTDA;42.687.320/0001-01
VCS COMERCIO LTDA;25.990.854/0001-93
VCA COMERCIO LTDA;40.485.246/0001-15
VALUMA COBRANCA E NEGOCIOS LTDA;36.977.870/0001-62
VALADAO E SANTOS PARTICIPACOES LTDA;24.654.306/0001-20
V3S COMERCIO DE DERIVADOS DE PETROLEO LTDA;60.143.201/0001-70
USA DIAGNOSTICA LTDA;02.330.159/0001-08
TURMALINA INCORPORACOES SPE LTDA;50.299.725/0001-09
TRIACO ESTRUTURAS METALICAS LTDA;05.196.739/0001-34
TRANSPORTES BOA VISTA LOGISTICA LTDA;07.464.040/0001-33
TRANSPORTADORA DONIZETE LTDA;46.845.920/0001-01
TOPAZIO IMPERIAL MINERACAO COMERCIO E INDUSTRIA LTDA;16.857.294/0001-02
TOP RAJA CAR LOCADORA DE VEICULOS LTDA;36.838.749/0001-50
TMJ MARCA E PATENTE LTDA;33.915.385/0001-76
TLUANER PARTICIPACOES S/A;20.364.841/0001-95
TK PATRIMONIAL LTDA;31.044.518/0001-50
TK LOCACAO DE EQUIPAMENTOS LTDA;31.044.430/0001-39
TIMBIRAS PARTICIPACOES LTDA;02.309.816/0001-27
THAISSA CALAB ODONTOLOGIA LTDA;58.112.501/0001-40
THAISSA CALAB CURSOS LTDA;32.677.844/0001-68
TECNOCAP RECAPAGEM E PNEUS LTDA;08.215.033/0001-60
TECHNEACO ENGENHARIA LTDA FILIAL 02-58;00.595.845/0002-58
TECHNEACO ENGENHARIA LTDA;00.595.845/0001-77
TEBAS ADMINISTRACAO LTDA;52.780.351/0001-66
TAX CLOUD SOLUCOES LTDA;47.274.324/0001-81
TASK SOFTWARE LTDA;00.128.239/0001-41
TAKONO DISTRIBUICAO LTDA;41.188.646/0001-21
SWA PATRIMONIAL LTDA;39.355.309/0001-30
SWA PARTICIPACOES LTDA;39.355.277/0001-72
SV RANCHO VELHO GERACAO DE ENERGIA SPE LTDA.;58.488.083/0001-90
SV LOGISTICA LTDA;37.441.721/0001-47
SUDESTE PARTICIPACOES LTDA;31.379.390/0001-86
SUDESTE ENGENHARIA E COMERCIO LTDA FILIAL 03-10;00.075.716/0003-10
SUDESTE ENGENHARIA E COMERCIO LTDA FILIAL 02-39;00.075.716/0002-39
SUDESTE ENGENHARIA E COMERCIO LTDA;00.075.716/0001-58
SUDESTE ADMINISTRADORA DE SERVICOS LTDA;05.403.156/0001-37
SSME FLORESTAL LTDA FILIAL 0014-87;10.193.698/0014-87
SSME FLORESTAL LTDA FILIAL 0013-04;10.193.698/0013-04
SSME FLORESTAL LTDA FILIAL 0012-15;10.193.698/0012-15
SSME FLORESTAL LTDA FILIAL 0011-34;10.193.698/0011-34
SSME FLORESTAL LTDA FILIAL 0010-53;10.193.698/0010-53
SSME FLORESTAL LTDA FILIAL 0009-10;10.193.698/0009-10
SSME FLORESTAL LTDA FILIAL 0008-39;10.193.698/0008-39
SSME FLORESTAL LTDA FILIAL 0007-58;10.193.698/0007-58
SSME FLORESTAL LTDA FILIAL 0006-77;10.193.698/0006-77
SSME FLORESTAL LTDA FILIAL 0005-96;10.193.698/0005-96
SSME FLORESTAL LTDA FILIAL 0003-24;10.193.698/0003-24
SSME FLORESTAL LTDA FILIAL 0002-43;10.193.698/0002-43
SSME FLORESTAL LTDA;10.193.698/0001-62
SSME EMPREENDIMENTOS IMOBILIARIOS LTDA.;09.070.634/0001-95
SSME EMPREENDIMENTOS IMOBILIARIOS LTDA FILIAL 02-76;09.070.634/0002-76
SPE MIRANTE DO LAGO SETE LAGOAS LTDA;51.229.449/0001-67
SPE MARIA FAUSTINA LTDA;53.026.355/0001-16
SPE LA BRESSE LTDA;52.082.717/0001-23
SPE JARDINS DOS BURITIS LTDA FILIAL 02-60;48.697.022/0002-60
SPE JARDINS DOS BURITIS LTDA;48.697.022/0001-89
SP IMPORTS LTDA FILIAL 03-50;02.567.330/0003-50
SP IMPORTS LTDA FILIAL 02-70;02.567.330/0002-70
SP IMPORTS LTDA;02.567.330/0001-99
SOLVIA SOLUCOES VIARIAS LTDA;16.689.970/0001-86
SOLVE OPERACAO, MANUTENCAO E COMISSIONAMENTO DE SISTEMAS FOTOVOLTAICOS LTDA;52.195.440/0001-45
SOLUCAO CORTE E DOBRA DE METAIS LTDA;31.794.024/0001-93
SOLAR VOLT SOLUCOES COMERCIO E INSTALACAO PARA ENERGIA LTDA;19.382.418/0001-39
SOBERANO TRANSPORTES LTDA;26.219.917/0001-75
SOBERANO SERVICOS LTDA;26.176.451/0001-78
SOBERANO LUBRIFICANTES LTDA;35.669.855/0001-94
SOBERANO LOJAS DE CONVENIENCIA LTDA;35.026.957/0001-91
SIX TRACKS LTDA;00.628.707/0001-47
SIMEX ENTREGAS E MOVIMENTACAO DE CARGAS LTDA;41.143.489/0001-38
SICAL INDUSTRIAL LTDA;19.416.627/0001-56
SETEC- CONSULTORIA EMPRESARIAL LTDA;10.958.319/0001-88
SCP VILA PACIFICO SANCRUZA;35.561.080/0001-39
SCP RESIDENCIAL VILA CONCEICAO;40.070.754/0001-32
SCP DIAGNOSTICO BETIMBARREIRO LTDA;29.753.663/0001-69
SCP CLINICA RADIOLOGICA ELDORADO LTDA;29.390.023/0001-31
SCP CLAM ENGENHARIA LTDA;34.954.797/0001-88
SCP AUDITORIA DE IMPOSTOS E CONTRIBUICOES;52.348.238/0001-06
SARAMENHA ENGENHARIA LTDA;11.815.940/0001-55
SANTORINI POSTO DE SERVICOS LTDA;10.695.209/0001-70
SANTA MARIA ECOLOGIC RESIDUOS LTDA;15.289.841/0001-38
SANTA MARIA ECOLOGIC LTDA;05.990.277/0015-28
SANTA MARIA ECOLOGIC LTDA;05.990.277/0014-47
SANTA MARIA ECOLOGIC LTDA;05.990.277/0001-22
SANTA MARIA ECOLOGIC LTDA;05.990.277/0013-66
SANTA MARIA ECOLOGIC LTDA;05.990.277/0011-02
SANTA MARIA ECOLOGIC LTDA;05.990.277/0010-13
SANTA MARIA ECOLOGIC LTDA;05.990.277/0009-80
SANTA MARIA ECOLOGIC LTDA;05.990.277/0008-07
SANTA MARIA ECOLOGIC LTDA;05.990.277/0006-37
SANTA MARIA ECOLOGIC LTDA;05.990.277/0005-56
SANTA MARIA ECOLOGIC LTDA;05.990.277/0004-75
SANTA MARIA ECOLOGIC LTDA;05.990.277/0002-03
SANTA MARIA ECOLOGIC EQUIPAMENTOS LTDA;42.878.288/0001-41
SANTA CLARA AGROPECUARIA LTDA;49.013.778/0001-24
SAINT EMILION AUTOMOVEIS PECAS E SERVICOS LTDA;12.579.490/0001-01
SAINT EMILION AUTOMOVEIS PECAS E SERVICOS LTDA;12.579.490/0004-54
SAINT EMILION AUTOMOVEIS PECAS E SERVICOS LTDA;12.579.490/0003-73
SAINT EMILION AUTOMOVEIS PECAS E SERVICOS LTDA;12.579.490/0002-92
RSM COMERCIO E GERENCIAMENTO DE RESIDUOS GUAXUPE EIRELI;07.088.797/0001-70
RPB COMERCIO DE COMBUSTIVEL LTDA;07.463.972/0001-61
ROL COMERCIO DE DERIVADOS DE PETROLEO LTDA;01.413.083/0001-03
ROCKET GESTAO PATRIMONIAL LTDA;41.214.153/0001-19
RICARDO SANTOS BRANT;658.150.506/001-14
RH CENTRO DE SAUDE LTDA;16.577.981/0001-74
RGGC EMPREENDIMENTOS LTDA.;14.843.672/0001-73
RFX TREINAMENTO PROFISSIONAL LTDA;21.027.534/0001-81
RFX LOGISTICA E TRANSPORTES DE COMBUSTIVEIS LTDA;05.476.396/0001-61
RFX GESTAO PATRIMONIAL LTDA;14.237.186/0001-01
RFX DISTRIBUIDORA DE PRODUTOS AUTOMOTIVOS LTDA;20.888.875/0001-89
RFX CONSULTORIA E GESTAO DE NEGOCIOS LTDA;14.480.381/0001-68
RFX ADMINISTRACAO DE RECURSOS LTDA;25.356.454/0001-20
RETES IMAGENS SERVICOS E CONSULTORIA LTDA;64.308.034/0001-20
RESIDENCIAL VILA SAO JOSE SCP;45.689.733/0001-13
RESIDENCIAL VILA SAO JOSE II SPE LTDA FILIAL 0002-01;29.327.331/0002-01
RESIDENCIAL VILA SAO JOSE II SPE LTDA;29.327.331/0001-12
RESIDENCIAL VILA SAO JOSE I SPE LTDA FILIAL 02-64;28.882.360/0002-64
RESIDENCIAL VILA SAO JOSE I SPE LTDA;28.882.360/0001-83
RESIDENCIAL VILA MORGANTI I SPE LTDA FILIAL 02-05;31.261.587/0002-05
RESIDENCIAL VILA MORGANTI I SPE LTDA;31.261.587/0001-16
RESIDENCIAL VILA MORGANTI I SCP;41.621.589/0001-22
RESIDENCIAL VILA CONCEICAO SPE LTDA FILIAL 02-01;30.248.795/0002-01
RESIDENCIAL VILA CONCEICAO SPE LTDA;30.248.795/0001-12
RESIDENCIAL VILA ATLANTICO SABARA SPE LTDA;25.188.463/0002-30
RESIDENCIAL VILA ATLANTICO SABARA SPE LTDA;25.188.463/0001-50
RESIDENCIAL VILA AMAZONAS SPE LTDA FILIAL 02-91;27.246.195/0002-91
RESIDENCIAL VILA AMAZONAS SPE LTDA;27.246.195/0001-00
RESIDENCIAL PACIFICO RIBEIRAO DAS NEVES SPE LTDA FILIAL 02-72;24.535.109/0002-72
RESIDENCIAL PACIFICO RIBEIRAO DAS NEVES SPE LTDA;24.535.109/0001-91
RESIDENCIAL MACAUBAS SPE LTDA;60.695.265/0001-83
RESIDENCIAL ANDORINHAS SPE LTDA;59.063.598/0001-00
REDE OFFICE INCORPORACOES LTDA;17.315.682/0001-24
REDE A PUBLICIDADE E PROPAGANDA LTDA;13.540.459/0001-20
RECICLAGEM PASSARELA LTDA;03.777.057/0001-90
RC INVEST PARTICIPACOES LTDA;32.390.413/0001-16
QUICK LUBE COMERCIO DE PRODUTOS E FRANQUIAS LTDA.;18.736.029/0001-00
QUICK CONVENIENCIAS LTDA;19.131.476/0001-90
QUIBASA QUIMICA BASICA LTDA FILIAL 03-79;19.400.787/0003-79
QUIBASA QUIMICA BASICA LTDA FILIAL 02-98;19.400.787/0002-98
QUIBASA QUIMICA BASICA LTDA;19.400.787/0001-07
QUEOPZ GESTAO PATRIMONIAL LTDA;43.939.592/0001-14
QUADRIJET ALPHAVILLE COMERCIO LTDA;17.304.915/0001-93
PURA SAUDE ALIMENTOS LTDA FILIAL 02-88;03.655.068/0002-88
PURA SAUDE ALIMENTOS LTDA;03.655.068/0001-05
PROSPECTIVA SOCIEDADE DE PROFISSIONAIS;48.794.181/0001-00
PROSERVICE LTDA;50.468.796/0001-80
PROPELLER LTDA;43.237.005/0001-45
PROJETOUM COMERCIO E REPRESENTACOES LTDA FILIAL 0002-27;41.723.594/0002-27
PROJETOUM COMERCIO E REPRESENTACOES LTDA;41.723.594/0001-46
PROFIT FOODS LTDA;51.224.324/0001-44
PRIMOLA FRAGRANCIAS LTDA FILIAL 04-30;02.924.170/0004-30
PRESERVAR PARTICIPACOES LTDA.;03.791.919/0001-39
PPML INDUSTRIA E COMERCIO DE ROUPAS EIRELI;35.373.591/0001-27
POSTO ZEPPELIN LTDA;27.476.355/0001-08
POSTO ZEPPE SAO JOSE LTDA;17.272.550/0001-62
POSTO ZEPPE OASIS LTDA;06.341.290/0001-13
POSTO ZEPPE MG LTDA;19.773.845/0001-48
POSTO ZEPPE GRAND PRIX LTDA;06.002.819/0001-74
POSTO VILA PICA PAU LTDA;15.218.502/0001-60
POSTO VILA DA SERRA LTDA;16.979.906/0001-30
POSTO VILA CHALE LTDA;09.309.316/0001-34
POSTO VIA FERNAO DIAS LTDA;44.097.391/0001-80
POSTO TROVAO LTDA;01.333.257/0001-28
POSTO TATIANA LTDA;66.215.898/0001-23
POSTO SOBERANO KARRAO LTDA;46.601.755/0001-42
POSTO SOBERANO AUTORAMA LTDA;48.825.978/0001-19
POSTO SIGMA LTDA;03.733.135/0001-54
POSTO PORTAL DOS CAICARAS LTDA;54.898.031/0001-30
POSTO PORTAL DE CONTAGEM LTDA;40.819.143/0001-44
POSTO PORTAL DE BETIM LTDA;41.753.596/0001-88
POSTO POETA LTDA;05.577.012/0001-05
POSTO PICA PAU LTDA;86.675.105/0001-66
POSTO PARQUE JARDIM LTDA;24.109.931/0001-90
POSTO PARQUE BURITIS LTDA;37.748.987/0001-37
POSTO PANAMERA LTDA;15.313.045/0001-93
POSTO OCEANO LTDA;08.401.243/0001-43
POSTO OCEANO AZUL LTDA;28.224.735/0001-18
POSTO NOGUEIRINHA LTDA;30.944.770/0001-53
POSTO NAPOLES LTDA;01.992.749/0001-25
POSTO MUSTANG LTDA;17.333.899/0001-67
POSTO MONTE VERDE LTDA;21.852.865/0001-56
POSTO MINASLANDIA LTDA;50.195.709/0001-68
POSTO MINAS SHOPPING LTDA;06.980.628/0001-87
POSTO MAURITANIA LTDA;16.525.008/0001-01
POSTO MARIO WERNECK LIMITADA;03.665.115/0001-93
POSTO LESTE LTDA;04.038.996/0001-85
POSTO JUPITER LTDA;38.619.219/0001-46
POSTO IRMAOS AULER LTDA;34.421.778/0001-96
POSTO IPE COMERCIO DE COMBUSTIVEIS LTDA;47.857.121/0001-18
POSTO HUGO WERNECK LTDA;25.723.479/0001-15
POSTO FORMULA BR LTDA;05.555.642/0001-70
POSTO ESTORIL LTDA;02.282.319/0001-82
POSTO DO MINEIRO LTDA;41.836.351/0001-14
POSTO DE COMBUSTIVEL VILA CRUZEIRO LIMITADA;06.934.844/0001-96
POSTO DE COMBUSTIVEL PETROLANDIA LTDA;38.257.608/0001-79
POSTO DE COMBUSTIVEIS SANTO AGOSTINHO LTDA;06.349.404/0001-71
POSTO DE COMBUSTIVEIS CENTER SUL LTDA;32.650.507/0001-87
POSTO DANUBIO LTDA;17.288.630/0001-06
POSTO COELHO LTDA;17.162.629/0001-30
POSTO CENTER NORTE LTDA;10.684.461/0001-84
POSTO BURITIS LTDA;71.281.786/0001-00
POSTO BERIMBAU LTDA;47.161.091/0001-00
POSTO BARAO VPP LTDA;30.166.678/0001-00
POSTO BALNEARIO AGUA LIMPA LTDA.;14.026.729/0001-41
POSTO AVENIDA BRASIL COMERCIO DE COMBUSTIVEIS LTDA;57.565.995/0001-55
POSTO ALLGAS LTDA;05.351.360/0001-51
POSTO ALAMO LTDA;03.527.723/0001-31
POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA;00.722.792/0001-08
POSTO AEROPORTO LTDA;16.665.259/0001-91
POP EMPREENDIMENTOS E PARTICIPACOES S/A;07.661.892/0001-10
PONTUAUTO CENTRO AUTOMOTIVO LTDA;05.609.018/0001-09
PNEUS JUA COMERCIO DE PNEUS LTDA;03.246.521/0001-11
PLATAFORMA AM3 LTDA;41.270.004/0001-77
PETRODATA PROCESSAMENTO DE DADOS LTDA;20.497.908/0001-60
PERFORMANCE GESTAO EMPRESARIAL LTDA;21.814.775/0001-70
PEMAX INTERMEDIACAO E NEGOCIOS LTDA;41.963.561/0001-73
PCFORYOU LTDA;49.875.195/0001-02
PAIVA EMPREENDIMENTOS E GESTAO DE IMOVEIS PROPRIOS LTDA;51.669.151/0001-78
PAIVA BRANT LTDA;49.588.317/0001-80
PADUA COMERCIO E INDUSTRIA LTDA;18.490.086/0001-43
ORIENTE FARMACEUTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA;38.681.730/0001-78
ORIENT AUTOMOVEIS PECAS E SERVICOS LTDA FILIAL 04-24;12.580.115/0004-24
ORIENT AUTOMOVEIS PECAS E SERVICOS LTDA FILIAL 03-43;12.580.115/0003-43
ORIENT AUTOMOVEIS PECAS E SERVICOS LTDA;12.580.115/0001-81
ORGANIZACOES SOUKI EIRELI FILIAL 03-32;38.656.930/0003-32
ORGANIZACOES SOUKI EIRELI;38.656.930/0001-70
ORGANIZACAO COMERCIAL MARINHO LTDA;18.849.166/0001-42
OPX PARTICIPACOES LTDA;11.399.673/0001-82
OPEN-5 LTDA;00.959.743/0001-93
OPEN-5 LTDA;00.959.743/0003-55
OLIVEIRA SANTOS ADVOGADOS;02.959.499/0001-94
OLE PARTICIPACOES LTDA;22.998.089/0001-60
NVB SERVICOS LTDA;53.532.697/0001-08
NRSM REFORMAS LTDA;58.348.595/0001-50
NOSSA OBRA VAREJO DIGITAL LTDA;48.220.612/0001-16
NEXUS GESTAO AVANCADA LTDA;60.085.700/0001-58
NATUREZA X COMERCIO LTDA;30.544.296/0001-72
NACIONAL RENOVAVEIS LTDA;46.918.126/0001-40
MWA PATRIMONIAL LTDA;38.648.231/0001-89
MWA PARTICIPACOES LTDA;38.648.260/0001-40
MULT SERVICOS ADMINISTRATIVOS LTDA;31.856.535/0001-92
MTL PARTICIPACOES LTDA;13.904.005/0001-90
MRLIZ CONSULTORIA LTDA;06.237.384/0001-47
MRI MOVIMENTACAO E RECUPERACAO INDUSTRIAL LTDA;08.012.588/0001-05
MP INCORPORACOES LTDA;09.244.206/0001-31
MOVIACO LTDA;31.781.148/0001-34
MONTE VERDE URBANIZACOES SPE LTDA;53.499.104/0001-59
MONTE VERDE EDIFICACOES I SPE LTDA;59.163.635/0001-52
MMORAES PARTICIPACOES LTDA;19.242.918/0001-75
MM COMERCIO DE DERIVADOS DE PETROLEO LTDA;02.940.925/0001-48
MLM HOLDING EIRELI;29.103.653/0001-88
MINEIRAO POSTO DE SERVICOS LTDA;16.599.607/0001-70
MINAS GERAIS ADMINISTRADORA DE IMOVEIS LTDA;09.374.764/0001-11
MILENE GUIMARAES MARQUEZANI;540.485.086-87
MICRONIC COMERCIO E INDUSTRIA LTDA;17.265.190/0001-71
MG CONVENIENCIA LTDA FILIAL 02-57;10.827.634/0002-57
MG CONVENIENCIA LTDA;10.827.634/0001-76
MEROS GESTAO PATRIMONIAL LTDA;42.491.263/0001-90
MENDONCA PARTICIPACOES LTDA;34.325.588/0001-75
MENDONCA E FILHOS GESTAO PATRIMONIAL LTDA;42.088.249/0001-40
MENDONCA E FERREIRA PATRIMONIAL LTDA;43.739.513/0001-21
MENDONCA E FERREIRA PARTICIPACOES LTDA.;34.573.828/0001-50
MEDWAY SOLUCOES PARA A SAUDE LTDA;58.980.514/0001-30
MD EMPREENDIMENTOS S.A;26.315.937/0001-40
MAX GESTAO PATRIMONIAL LTDA;11.807.259/0001-65
MATTA NUNES REPRESENTACOES COMERCIAIS E GESTAO DE NEGOCIOS LTDA;15.275.376/0001-86
MASTER PISOS MATERIAL DE CONSTRUCAO EIRELI;29.603.477/0001-43
MASTER EMPREENDIMENTOS E PARTICIPACOES LTDA;24.325.634/0001-82
MASTER AUTO POSTO LTDA.;03.762.040/0001-69
MASSIME DISTRIBUIDORA DE MEDICAMENTOS LTDA;48.098.171/0001-21
MARICABI GESTAO PATRIMONIAL LTDA;34.967.267/0001-74
MARIANA CARLECH GUIMARAES MARQUEZANI;102.218.196-30
MARIA CHEQUER PATRIMONIAL LTDA;42.907.943/0001-42
MARIA CHEQUER PARTICIPACOES LTDA;50.768.913/0001-20
